delta,theta,alpha,beta,alpha_peak,1/f_slope,spindles,slow_oscillations,CAP_index
0.008165956294847771,0.6200918043034596,0.16373637778026867,0.20800586162142412,8.346153846153847,-15.866688336547938,,,
0.008342120112972366,0.6021938501100281,0.16488502307107397,0.22457900670592548,7.818181818181818,-16.255756736177208,,,
0.008874245496267474,0.6229461835159317,0.16544732822630842,0.2027322427614922,8.307692307692308,-15.867433716842715,,,
0.008061841032393161,0.6018749147414404,0.17055210746593258,0.2195111367602339,8.133333333333333,-16.115455839369723,,,
0.00887573476278414,0.6176250792904558,0.15557301377426613,0.2179261721724939,8.0625,-16.074611441433245,,,
0.007951712023317488,0.61112649920562,0.17394306625112965,0.20697872251993288,8.772727272727273,-15.868058021137271,,,
0.007374952160413253,0.603823385277647,0.17048645990828634,0.21831520265365337,8.607142857142858,-16.331285892357812,,,
0.00777110239082866,0.6267556791896101,0.1636389639098274,0.20183425450973372,8.316666666666666,-16.3757441220963,,,
0.008247977604102332,0.6100474497627881,0.16285553458632945,0.21884903804677996,8.325,-16.303941090050262,,,
0.008833387260636004,0.6213178796261719,0.16784820860312621,0.20200052451006595,8.472222222222221,-16.3128731822264,,,
0.008314284031689032,0.6147866674073353,0.16715603305989965,0.2097430155010758,8.2,-16.435922455750827,,,
0.0076629134839436884,0.6353336725851985,0.1675721975124255,0.18943121641843222,8.5,-15.910822664842325,,,
0.008579264792917781,0.6296614773364139,0.17134834125952922,0.1904109166111391,8.25,-16.00986006179163,,,
0.00850913264012683,0.6336050498199158,0.17162778524392652,0.1862580322960308,8.321428571428571,-16.069134058026115,,,
0.008789045510470229,0.6445651922765225,0.16112196727695532,0.185523794936052,8.5,-16.375680343349647,,,
0.009157603329652798,0.6576613655377446,0.14492890637315908,0.18825212475944372,9.041666666666666,-16.581049426475957,,,
0.008162827271548035,0.6645347495595186,0.16006513303398623,0.16723729013494712,8.35,-15.592514707590723,,,
0.009297376988964556,0.6174768209970111,0.15750810577523514,0.2157176962387893,8.145833333333334,-16.431644625209714,,,
0.008336686790834935,0.6258873753550703,0.16853493612160794,0.1972410017324869,8.270833333333334,-15.940356878039795,,,
0.009073047006028824,0.6126279154474644,0.16827097674042749,0.21002806080607905,8.392857142857142,-16.112367201971512,,,
0.008764552895323251,0.614119801951192,0.1650249844076552,0.21209066074582963,8.517857142857142,-15.773920600547077,,,
0.009154218765443511,0.6521785796086617,0.1622619629583004,0.17640523866759428,8.5,-15.831774035305399,,,
0.008834517052856941,0.6358414010386446,0.1608959954065981,0.19442808650190027,8.058823529411764,-16.10361776610423,,,
0.009247784172290314,0.6357944677640962,0.1659231900538773,0.1890345580097362,8.365384615384615,-16.134461016850647,,,
0.008742888477203998,0.6346848375660694,0.16289798593765253,0.19367428801907408,8.365384615384615,-16.558715357851796,,,
0.008734788016021887,0.6390138657902673,0.16577983806282706,0.18647150813088387,7.966666666666667,-16.159984764419658,,,
0.008140286294142885,0.6131301160612295,0.17412599526450537,0.20460360238012215,8.604166666666666,-16.157220196714466,,,
0.008724345029745445,0.5990190934216822,0.1652477009895805,0.22700886055899183,8.392857142857142,-16.17498514393063,,,
0.008272942729910832,0.6188431990991142,0.16675765309478233,0.20612620507619273,9.125,-16.185971634741612,,,
0.00861126430827609,0.6182912691225501,0.1645919297693146,0.20850553679985942,8.5625,-16.32106658366111,,,
0.00861913084573904,0.6057835856806725,0.1632974961659381,0.22229978730765051,8.9,-16.8465882570783,,,
0.00811672902383092,0.6017960745297458,0.16173692699064227,0.2283502694557808,7.816666666666666,-16.237605869351373,,,
0.008741115498634284,0.6237701789141719,0.16083793828298615,0.20665076730420787,8.666666666666666,-15.414756285796669,,,
0.008408719345350932,0.6231860650819122,0.16203355676846634,0.2063716588042706,8.795454545454545,-16.326780003252317,,,
0.007936874837229452,0.6046812028868142,0.170510085923075,0.21687183635288146,8.326923076923077,-16.162776206193566,,,
0.009014469733462508,0.5966178339599988,0.17774145998861368,0.216626236317925,7.979166666666667,-16.01624810127585,,,
0.007981090670096929,0.6048417413607285,0.17826317842485498,0.2089139895443196,8.416666666666666,-16.088683506345482,,,
0.009071940156246131,0.604404571303356,0.16209530972534061,0.2244281788150573,8.140625,-16.072981174016245,,,
0.007478998427527389,0.5939524960137997,0.1689177608902618,0.229650744668411,8.089285714285714,-16.382855647684927,,,
0.007575355355607972,0.6110983984114708,0.17103588083776727,0.21029036539515408,8.466666666666667,-16.246557826383032,,,
